,Ticker,Company
238,HD,Home Depot (The)
239,HON,Honeywell
240,HRL,Hormel Foods
241,HST,Host Hotels & Resorts
242,HWM,Howmet Aerospace
243,HPQ,HP Inc.
244,HUM,Humana
245,HBAN,Huntington Bancshares
246,HII,Huntington Ingalls Industries
247,IBM,IBM
248,IEX,IDEX Corporation
249,IDXX,Idexx Laboratories
250,ITW,Illinois Tool Works
251,ILMN,Illumina
252,INCY,Incyte
253,IR,Ingersoll Rand
254,PODD,Insulet
255,INTC,Intel
256,ICE,Intercontinental Exchange
257,IFF,International Flavors & Fragrances
258,IP,International Paper
259,IPG,Interpublic Group of Companies (The)
260,INTU,Intuit
261,ISRG,Intuitive Surgical
262,IVZ,Invesco
263,INVH,Invitation Homes
264,IQV,IQVIA
265,IRM,Iron Mountain
266,JBHT,J.B. Hunt
267,JKHY,Jack Henry & Associates
268,J,Jacobs Solutions
269,JNJ,Johnson & Johnson
270,JCI,Johnson Controls
271,JPM,JPMorgan Chase
272,JNPR,Juniper Networks
273,K,Kellogg's
274,KDP,Keurig Dr Pepper
275,KEY,KeyCorp
276,KEYS,Keysight
277,KMB,Kimberly-Clark
278,KIM,Kimco Realty
279,KMI,Kinder Morgan
280,KLAC,KLA Corporation
281,KHC,Kraft Heinz
282,KR,Kroger
283,LHX,L3Harris
284,LH,LabCorp
285,LRCX,Lam Research
286,LW,Lamb Weston
287,LVS,Las Vegas Sands
288,LDOS,Leidos
289,LEN,Lennar
290,LNC,Lincoln Financial
291,LIN,Linde plc
292,LYV,Live Nation Entertainment
293,LKQ,LKQ Corporation
294,LMT,Lockheed Martin
295,L,Loews Corporation
296,LOW,Lowe's
297,LYB,LyondellBasell
298,MTB,M&T Bank
299,MRO,Marathon Oil
300,MPC,Marathon Petroleum
301,MKTX,MarketAxess
302,MAR,Marriott International
303,MMC,Marsh McLennan
304,MLM,Martin Marietta Materials
305,MAS,Masco
306,MA,Mastercard
307,MTCH,Match Group
308,MKC,McCormick & Company
309,MCD,McDonald's
310,MCK,McKesson
311,MDT,Medtronic
312,MRK,Merck & Co.
313,META,Meta Platforms
314,MET,MetLife
315,MTD,Mettler Toledo
316,MGM,MGM Resorts
317,MCHP,Microchip Technology
318,MU,Micron Technology
319,MSFT,Microsoft
320,MAA,Mid-America Apartment Communities
321,MRNA,Moderna
322,MHK,Mohawk Industries
323,MOH,Molina Healthcare
324,TAP,Molson Coors Beverage Company
325,MDLZ,Mondelez International
326,MPWR,Monolithic Power Systems
327,MNST,Monster Beverage
328,MCO,Moody's Corporation
329,MS,Morgan Stanley
330,MOS,Mosaic Company (The)
331,MSI,Motorola Solutions
332,MSCI,MSCI
333,NDAQ,"Nasdaq, Inc."
334,NTAP,NetApp
335,NFLX,Netflix
336,NWL,Newell Brands
337,NEM,Newmont
